Name,xpos,ypos,zpos,hNode,tNode,pressure,pressure_mmHg,volume,cellvolume
1,1011.06536865234,1127.55346679688,420.920654296875,1,0,5332.9,39.99675,467345.098699951,0
2,950.190307617188,1052.8759765625,404.091827392578,0,0,5332.61291597661,39.9945968698245,579942.685311393,0
3,780.919555664062,1033.99243164062,470.883941650391,0,0,5331.74968502247,39.9881226376685,581814.858351627,0
4,974.160766601562,1015.17749023438,362.798126220703,0,0,5332.50604582482,39.9937953436861,460031.573995141,0
5,686.442565917969,941.534851074219,452.415313720703,0,0,5330.9051532489,39.9817886493668,477069.217039362,0
6,1199.45776367188,662.928833007812,279.398406982422,0,0,5330.89627333577,39.9817220500183,193547.388414315,40788414.9140899
7,931.583984375,997.44482421875,328.374298095703,0,0,5332.33876346812,39.9925407260109,296431.711877131,8363701.05255118
8,727.0478515625,753.454467773438,356.906280517578,0,0,5328.83430288367,39.9662572716275,280190.249701214,0
9,1183.77075195312,649.133056640625,288.050689697266,0,0,5329.17901770341,39.9688426327756,194652.429092694,0
10,684.8761,152.0657,6.555,0,1,5297.56300421516,39.7317225316137,68720.4757984211,0
11,928.968688964844,832.945068359375,239.223342895508,0,0,5330.23692009017,39.9767769006763,484676.180526593,0
12,788.694030761719,623.860046386719,375.441589355469,0,0,5328.19035440773,39.961427658058,319710.487099884,0
13,1123.70288085938,659.056884765625,241.394226074219,0,0,5329.00853240134,39.9675639930101,187175.714704789,0
14,953.286682128906,731.901000976562,307.235687255859,0,0,5329.3093663274,39.9698202474555,229113.423165736,0
15,812.481262207031,797.490600585938,229.3583984375,0,0,5329.0367130499,39.9677753478742,427354.343990763,0
16,945.286865234375,710.517761230469,61.3060874938965,0,0,5329.38494957801,39.9703871218351,376633.922089592,0
17,831.757385253906,603.35498046875,365.849060058594,0,0,5328.26117537223,39.9619588152917,124668.1452327,0
18,1068.96643066406,658.802429199219,265.073150634766,0,0,5329.09550151662,39.9682162613747,188052.466637244,0
19,1004.70904541016,565.128234863281,161.159362792969,0,0,5328.02051339078,39.9601538504308,164089.173359267,5454499.16815354
20,845.671752929688,610.463500976562,332.96923828125,0,0,5328.02513701487,39.9601885276116,129223.377536242,0
21,507.012542724609,799.96484375,116.399864196777,0,0,5324.4283908373,39.9332129312797,393306.456747539,0
22,633.897155761719,955.838134765625,70.3448715209961,0,0,5326.79747158476,39.9509810368857,273885.00332406,0
23,902.024658203125,615.0556640625,418.096771240234,0,0,5328.86546362848,39.9664909772136,472411.555485755,0
24,1096.10913085938,616.660339355469,329.399383544922,0,0,5329.1109246856,39.968331935142,277380.119566399,0
25,964.488159179688,551.702331542969,166.45751953125,0,0,5327.99342336201,39.9599506752151,119722.096602041,2517911.36903637
26,818.485412597656,549.522521972656,270.9140625,0,0,5326.89130893696,39.9516848170272,118379.450412884,0
27,466.940032958984,681.801574707031,175.311599731445,0,0,5321.27768679193,39.9095826509394,324564.646062782,0
28,464.778472900391,861.820922851562,57.6230354309082,0,0,5324.63197736032,39.9347398302024,134847.635086395,8980067.03567109
29,593.499816894531,966.1787109375,42.2805862426758,0,0,5326.5186936017,39.9488902020127,83319.9870070427,5149045.55619194
30,862.316284179688,521.850891113281,217.598281860352,0,0,5326.83046673244,39.9512285004933,105977.589699367,0
31,736.687438964844,505.388244628906,225.863815307617,0,0,5325.17514745941,39.9388136059455,184258.973252162,0
32,499.947082519531,591.534851074219,228.4169921875,0,0,5321.11862413217,39.9083896809913,250036.254445791,7136963.38765535
33,393.251251220703,669.619934082031,152.018951416016,0,0,5320.89881791769,39.9067411343827,162156.796203683,5862322.10136768
34,827.196350097656,573.817932128906,15.2522096633911,0,0,5329.0704140427,39.9680281053202,132752.304070262,14575545.245069
35,842.277160644531,311.379058837891,82.7354278564453,0,0,5318.57714569568,39.8893285927176,209348.972183888,67086433.2155639
36,854.891479492188,472.202972412109,176.688903808594,0,0,5326.00182791126,39.9450137093344,97091.6739716844,4082908.62436649
37,532.9404296875,474.163208007812,217.236068725586,0,0,5320.52533502128,39.9039400126596,133857.552533681,3521161.51688558
38,735.714294433594,745.965515136719,61.3633079528809,0,0,5327.40692261499,39.9555519196124,150261.782419653,19254549.2396621
39,721.166564941406,642.7607421875,21.2927150726318,0,0,5327.76257228867,39.958219292165,74001.1467790551,6566804.93791183
40,553.317077636719,420.020416259766,200.787307739258,0,0,5320.11411400063,39.9008558550047,130436.305051639,2238099.00399134
41,746.895324707031,312.445373535156,43.6195755004883,0,0,5315.83491617781,39.8687618713336,187231.2344435,0
42,627.610229492188,380.702697753906,163.000152587891,0,0,5319.84175050105,39.8988131287579,267557.497528311,0
43,754.859436035156,279.205871582031,11.8362493515015,0,0,5315.22673173489,39.8642004880116,96999.1544374664,1836240.63994945
44,377.516723632812,529.445556640625,133.537658691406,0,0,5318.17761589982,39.8863321192486,184744.115402718,11845500.7433334
45,480.761047363281,466.703887939453,54.768913269043,0,0,5316.69852003848,39.8752389002886,197135.85227191,0
46,662.565795898438,249.427673339844,11.3397235870361,0,0,5311.7547586449,39.8381606898367,204542.687744029,0
47,541.598022460938,475.309844970703,18.151647567749,0,0,5316.33386103167,39.8725039577375,97150.4758711127,1879088.90253097
48,534.630676269531,403.351043701172,31.2252368927002,0,0,5315.17210301439,39.8637907726079,180518.599754993,0
49,1126.87609863281,730.045837402344,434.683929443359,0,0,5330.83675108486,39.9812756331364,332121.185613806,114030729.46295
