EndNodes_1,EndNodes_2,branch_length,segment_dia,segment_csarea,nsegment,segment_i_nnode,mid_xpos,mid_ypos,mid_zpos,delP,velocity,velocity_um_sec,qdot,qdot_um3_sec,tau,G,K,glc_ext_dispersion,lac_ext_dispersion,ins_ext_dispersion,cpep_ext_dispersion,glc_ext_disp_vol,lac_ext_disp_vol,ins_ext_disp_vol,cpep_ext_disp_vol
1,2,97.8044478472937,78,4778.36242611007,8,7,980.627838134766,1090.21472167969,412.506240844727,0.287084023392708,8371.06867053117,139.51781117552,40000000.0016534,666666.666694223,0.70101764802095,378459.843235281,139332030.842192,54604.8582094963,77103.4404440791,9627.63106651015,9627.63106651015,2667790.76508579,3766988.01384827,470370.331342095,470370.331342095
2,3,182.949070133252,51.32,2068.53644382199,15,13,865.554931640625,1043.43420410156,437.487884521484,0.863230954134451,5825.20716158299,97.0867860263832,12049653.3065473,200827.555109121,1.88438692453508,37915.4648039777,13958782.6975334,54601.463493503,77101.0364039593,9608.32361929809,9608.32361929809,617358.246423786,871752.469372338,108637.707511044,108637.707511044
2,4,60.8352573087806,81.08,5163.18113679653,5,4,962.175537109375,1034.02673339844,383.444976806641,0.106870151789735,5413.39649881176,90.223274980196,27950346.6886653,465839.111477754,0.674274540822576,710394.533370228,261535575.84214,54603.3947159925,77102.4040401192,9619.30744720761,9619.30744720761,4634273.44724942,6543798.70740105,816405.304384243,816405.304384243
3,5,133.474327169244,45.84,1650.36155897677,11,9,733.681060791016,987.763641357422,461.649627685547,0.844531773569543,6232.30576017936,103.871762669656,10285557.8503895,171425.964173159,1.28499145233275,33081.1573898595,12179006.3704957,54601.2492348705,77100.8846721651,9607.10502332616,9607.10502332616,675124.608008546,953324.425188511,118788.362974446,118788.362974446
3,49,461.930625371092,39.46,1222.93688288159,38,34,953.897827148437,882.019134521484,452.783935546875,0.912933937616799,1442.50736157221,24.0417893595369,1764095.45629488,29401.590938248,19.2136541279467,5248.69778625916,1932336.37572947,54600.2142586324,77100.1517317942,9601.21859597203,9601.21859597203,144551.177520385,204118.571166031,25418.7180860549,25418.7180860549
4,6,426.372333267346,33.8,897.270277791781,35,31,1086.80926513672,839.053161621094,321.098266601562,1.60977248904328,2021.85574404123,33.6975957340205,1814151.06511078,30235.8510851797,12.6529007182814,3061.10188622775,1126961.15597613,54600.2203381483,77100.1560371323,9601.25317321844,9601.25317321844,114902.283867429,162251.799724186,20205.1550480907,20205.1550480907
4,7,57.5519745236371,70.3,3881.50840934489,5,4,952.872375488281,1006.31115722656,345.586212158203,0.167282356695978,6733.51513767418,112.22525229457,26136195.6313335,435603.260522225,0.512825530323374,424386.022725749,156240001.32204,54603.1743778452,77102.2480029876,9618.05427399455,9618.05427399455,3682630.91368803,5200047.89549102,648675.546843534,648675.546843534
5,8,214.813861815848,32.98,854.262188523402,18,15,706.745208740234,847.494659423828,404.660797119141,2.0708503652304,4915.06198935281,81.9176998225469,4198751.61175272,69979.193529212,2.62231315431446,5507.31988403217,2027549.49476302,54600.5099603738,77100.361139253,9602.90039962598,9602.90039962598,217132.873730598,306609.278777482,38188.3861786778,38188.3861786778
5,23,392.73662984736,42.24,1401.3212261414,32,29,794.233612060547,778.295257568359,435.256042480469,2.03968962042654,4343.61952458061,72.3936587430101,6086806.23807704,101446.770634617,5.4250142438792,8105.76911399129,2984182.58205587,54600.7392744967,77100.523532912,9604.20462369979,9604.20462369979,194820.572092046,275101.918085094,34268.7052252465,34268.7052252465
6,9,22.6112312450082,15.96,200.057876817659,2,1,1191.6142578125,656.030944824219,283.724548339844,1.71725563236123,9068.13115234145,151.135519205691,1814151.06504151,30235.8510840251,0.149608982480386,2869.50731711631,1056424.58283689,54600.2203381483,77100.1560371323,9601.25317321839,9601.25317321839,483087.543365769,682160.708188066,84949.2141232661,84949.2141232661
